source,window_s,prefix_bin,roots,resampling_units,family,info,status,crps,zero_brier,median_abs_error,interval_score90,width90,coverage50,coverage80,coverage90,coverage95,msle_saved_median
weibo,900,3-9,1720,1357,qrf,I1,available,25.574511438567338,0.0014720282296888903,30.965697674418603,330.47887596899227,142.37422480620154,0.506201550387597,0.7982558139534883,0.897093023255814,0.9534883720930233,0.9506010458528983
weibo,900,3-9,1720,1357,ngboost,I0,available,26.747202745993608,0.0005921236719144233,32.75058139534884,335.9674418604651,153.44418604651162,0.5296511627906977,0.8848837209302326,0.9558139534883721,0.9738372093023255,1.002762997831973
weibo,900,3-9,1720,1357,ngboost,I1,available,27.263163073094145,0.0006452484210115774,33.234883720930235,344.0622093023256,185.57383720930233,0.5354651162790698,0.8813953488372093,0.95,0.9761627906976744,1.0130949578461137
weibo,900,3-9,1720,1357,nb2_glm,I0,available,37.94337753330867,0.006434959937585605,41.51627906976744,490.28837209302327,418.9976744186047,0.7412790697674418,0.9813953488372092,0.9895348837209302,0.9918604651162791,1.501323286617678
weibo,900,3-9,1720,1357,nb2_glm,I1,available,34.0693596178686,0.005481458763182771,38.44651162790698,426.6232558139535,334.36744186046514,0.7511627906976744,0.9761627906976744,0.9843023255813953,0.9901162790697674,1.3281502109822314
weibo,900,3-9,1720,1357,poisson_glm,I0,available,51.29572436531815,0.0005813953488372093,55.591279069767445,888.5046511627907,26.59767441860465,0.03255813953488372,0.062209302325581396,0.07732558139534884,0.08895348837209302,2.109323580109027
weibo,900,3-9,1720,1357,poisson_glm,I1,available,42.33089253154028,0.0005813953488372093,46.13720930232558,723.6843023255814,23.858720930232558,0.03953488372093023,0.07151162790697674,0.0936046511627907,0.12441860465116279,1.6617057932647405
weibo,900,3-9,1720,1357,empirical_window,I0,available,29.64041010594523,0.000731167312661499,32.26686046511628,484.04651162790697,403.0,0.5918604651162791,0.8127906976744186,0.877906976744186,0.9709302325581395,0.977844260546015
weibo,900,3-9,1720,1357,conditional_empirical,I0,available,26.936986046511613,0.0005813953488372093,31.07093023255814,367.36918604651163,67.11337209302326,0.4308139534883721,0.7127906976744186,0.8029069767441861,0.9255813953488372,0.9474988341706864
weibo,900,10-49,1168,816,hurdle,I0,available,98.37954020088267,0.02593163773409335,117.84674657534246,1270.2200342465753,540.6481164383562,0.7559931506849316,0.9118150684931506,0.9357876712328768,0.949486301369863,1.656591880421534
