source,window_s,prefix_bin,roots,resampling_units,family,I0,I1,delta_I1_minus_I0,relative_reduction_percent,conditional_empirical,I1_minus_conditional_empirical,pointwise95_low,pointwise95_high,valid_bootstrap_replicates,interval_status
weibo,300,10-49,526,362,qrf,284.97020636891267,272.58494955971537,-12.385256809197298,4.346158486885388,285.89211863117856,-13.307169071463171,-17.6096746349628,-7.387488790737777,2000,exploratory_pointwise
weibo,300,10-49,526,362,ngboost,341.2943228884245,330.65752044291673,-10.63680244550782,3.1166069085143078,285.89211863117856,44.76540181173817,-15.151347794701447,-6.172287969002661,2000,exploratory_pointwise
weibo,300,50+,85,67,hurdle,2302.8401550382573,2169.3984251406355,-133.44172989762205,5.794658808848374,1860.0980894117642,309.3003357288711,-281.3766982474754,-26.37146778617702,2000,exploratory_pointwise
weibo,300,50+,85,67,qrf,1773.5176523027476,1480.9739180006986,-292.54373430204845,16.495112632355713,1860.0980894117642,-379.1241714110652,-571.0605537494562,-105.53142881774302,2000,exploratory_pointwise
weibo,300,50+,85,67,ngboost,2012.0168895369502,1990.544673231292,-21.47221630565836,1.067198611369502,1860.0980894117642,130.44658381952775,-45.30881352721895,1.2765253439257986,2000,exploratory_pointwise
weibo,900,0,764,708,hurdle,71.26627266095207,71.28718200236655,0.02090934141447399,-0.0293397432386433,69.92189738219895,1.3652846201675903,-0.03414830020091466,0.07965716059752072,2000,exploratory_pointwise
weibo,900,0,764,708,qrf,68.06679607184604,68.06482807236547,-0.0019679994805702674,0.0028912767959465846,69.92189738219895,-1.8570693098334834,-0.007531567595254659,0.0044900115044766336,2000,exploratory_pointwise
weibo,900,0,764,708,ngboost,68.8169581906006,68.75586854031624,-0.0610896502843443,0.08877121554131673,69.92189738219895,-1.166028841882705,-0.1653557444507767,0.04206248303911775,2000,exploratory_pointwise
weibo,900,1-2,982,889,hurdle,63.84803547307276,61.31234996448277,-2.5356855085899843,3.9714385725452606,54.236720162932784,7.075629801549982,-2.9792172247949225,-2.0749833939704523,2000,exploratory_pointwise
weibo,900,1-2,982,889,qrf,53.84998038819087,53.83184812729749,-0.018132260893375614,0.033671805936918986,54.236720162932784,-0.40487203563529556,-0.25545623289279024,0.18840701702790488,2000,exploratory_pointwise
weibo,900,1-2,982,889,ngboost,55.54159407630301,55.54382797255933,0.0022338962563352126,-0.004022024022676263,54.236720162932784,1.3071078096265445,-0.2801870520606196,0.27712589543295557,2000,exploratory_pointwise
weibo,900,3-9,1720,1357,hurdle,38.05460187780009,34.216915760544794,-3.8376861172552985,10.084683396711835,26.936986046511613,7.279929714033177,-4.231925805915602,-3.4372334740207586,2000,exploratory_pointwise
weibo,900,3-9,1720,1357,qrf,25.636201862048324,25.574511438567338,-0.0616904234809832,0.24063792215769375,26.936986046511613,-1.3624746079442678,-0.324501431490827,0.12519009985740762,2000,exploratory_pointwise
weibo,900,3-9,1720,1357,ngboost,26.747202745993608,27.263163073094145,0.5159603271005354,-1.9290253713645678,26.936986046511613,0.32617702658253184,0.1578121335361917,0.8624481335924452,2000,exploratory_pointwise
weibo,900,10-49,1168,816,hurdle,98.37954020088267,98.65546030739169,0.27592010650900783,-0.280464927916535,96.35110547945197,2.3043548279397075,-0.9463557281869024,1.8138518413596965,2000,exploratory_pointwise
weibo,900,10-49,1168,816,qrf,91.92812500409359,89.78461243240898,-2.143512571684605,2.3317266305487694,96.35110547945197,-6.566493047042996,-5.497171121411128,2.7753447345926494,2000,exploratory_pointwise
weibo,900,10-49,1168,816,ngboost,96.36437558570564,96.37151156024778,0.007135974542127643,-0.0074051997937640834,96.35110547945197,0.020406080795794715,-0.795784390640785,0.8277221159414249,2000,exploratory_pointwise
weibo,900,50+,366,260,hurdle,941.2124904516389,924.7602636614106,-16.45222679022828,1.7479821992517075,733.6160131147537,191.14425054665696,-36.451185271000924,0.9191584831662368,2000,exploratory_pointwise
weibo,900,50+,366,260,qrf,696.1122836909948,659.9652539316196,-36.147029759375215,5.192701034912483,733.6160131147537,-73.65075918313416,-85.33772519670023,47.22248630015359,2000,exploratory_pointwise
weibo,900,50+,366,260,ngboost,821.7177591921836,818.5312878785851,-3.1864713135985934,0.3877817265055983,733.6160131147537,84.91527476383138,-10.285039328211774,3.4489302947174583,2000,exploratory_pointwise
weibo,3600,0,334,316,hurdle,78.52852748163983,78.50943136181684,-0.01909611982298334,0.024317430156139963,77.57623473053889,0.9331966312779625,-0.08700896096465627,0.0550527226888966,2000,exploratory_pointwise
weibo,3600,0,334,316,qrf,76.76669063774403,76.7736895711966,0.006998933452558613,-0.009117148849879797,77.57623473053889,-0.8025451593422865,-0.0047760708926397255,0.018521845166983585,2000,exploratory_pointwise
weibo,3600,0,334,316,ngboost,79.6255465277499,79.33286087369255,-0.2926856540573431,0.3675775763188671,77.57623473053889,1.756626143153676,-0.412783980956591,-0.1816539949073981,2000,exploratory_pointwise
weibo,3600,1-2,386,362,hurdle,30.717119646955165,28.224036809528652,-2.4930828374265115,8.116265021201752,23.179083937823826,5.044952871704827,-3.197621748210873,-1.7583619706894644,2000,exploratory_pointwise
